Month,Year,Rainfall,WPI
4,2012,47.5,84.3
5,2012,31.7,79.5
6,2012,117.8,80.2
7,2012,250.2,78.8
8,2012,262.4,78.1
9,2012,193.5,79.3
10,2012,58.7,78.3
11,2012,30.7,79.3
12,2012,11.7,82.1
1,2013,11.3,85.5
2,2013,40.1,82.5
3,2013,15.7,81.5
4,2013,30.4,81
5,2013,57.8,79.7
6,2013,219.8,83.5
7,2013,310,85.3
8,2013,254.7,91.7
9,2013,152.7,94.8
10,2013,129.4,109.6
11,2013,14,112.4
12,2013,6.7,112.8
1,2014,19.2,116.8
2,2014,27.4,121.6
3,2014,36.1,127.6
4,2014,22.2,141.8
5,2014,72.9,150
6,2014,95.4,147.9
7,2014,261.2,152
8,2014,237.5,172.1
9,2014,188,170
10,2014,60.2,160.9
11,2014,14.4,153.2
12,2014,10.7,148.5
1,2015,17.4,162.7
2,2015,21,161.9
3,2015,62,162
4,2015,69.4,161.9
5,2015,53.8,154.4
6,2015,192.8,145.5
7,2015,242.4,134.4
8,2015,205.2,143.8
9,2015,131.8,139.6
10,2015,42.9,135.1
11,2015,39.4,130.2
12,2015,15,118.7
1,2016,19.3,112.3
2,2016,22.8,109.7
3,2016,27.6,103.9
4,2016,37.4,103.9
5,2016,62.6,102.3
6,2016,168.3,100.6
7,2016,289.1,99.5
8,2016,256.3,105.2
9,2016,171.9,107.6
10,2016,76.1,109.1
11,2016,29.7,110
12,2016,14.9,114.6
1,2017,19,121.6
2,2017,22.6,130.3
3,2017,27.8,128.3
4,2017,37.9,134.6
5,2017,62.4,132.1
6,2017,168.1,145.8
7,2017,289.3,152
8,2017,256.2,168.5
9,2017,171.5,188.6
10,2017,76.3,189.8
11,2017,29.9,195.4
12,2017,15,210.1
1,2018,19.2,215.5
2,2018,20.1,214.4
3,2018,27.1,209.4
4,2018,40.2,215.3
5,2018,62.7,226.1
6,2018,165,222.2
7,2018,286.3,218.1
8,2018,254.3,218.7
9,2018,171.9,212.2
10,2018,77.2,199
11,2018,28.1,191.2
12,2018,14.1,198.3
